offspring_id known_id candidate_id session new_offspring_id id_flow
1.MO2.08_H1_R4_13 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R4_13 1.MO2.08_H1_R4
1.MO2.08_H1_R4_14 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H1_R4_14 1.MO2.08_H1_R4
1.MO2.08_H1_R6_01 1.MO2.08 1.MO2.07 1.MO2 1.MO2.08_H1_R6_01 1.MO2.08_H1_R6
1.MO2.08_H1_R6_02 1.MO2.08 1.MO2.07 1.MO2 1.MO2.08_H1_R6_02 1.MO2.08_H1_R6
1.MO2.08_H1_R6_03 1.MO2.08 1.MO2.07 1.MO2 1.MO2.08_H1_R6_03 1.MO2.08_H1_R6
1.MO2.08_H2_R2_01 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H2_R2_01 1.MO2.08_H2_R2
1.MO2.08_H2_R2_02 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H2_R2_02 1.MO2.08_H2_R2
1.MO2.08_H2_R2_03 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H2_R2_03 1.MO2.08_H2_R2
1.MO2.08_H2_R2_04 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H2_R2_04 1.MO2.08_H2_R2
1.MO2.08_H2_R2_05 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H2_R2_05 1.MO2.08_H2_R2
1.MO2.08_H2_R2_06 1.MO2.08 1.MO2.07 1.MO2 1.MO2.08_H2_R2_06 1.MO2.08_H2_R2
1.MO2.08_H2_R2_07 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H2_R2_07 1.MO2.08_H2_R2
1.MO2.08_H2_R2_08 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H2_R2_08 1.MO2.08_H2_R2
1.MO2.08_H2_R2_09 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H2_R2_09 1.MO2.08_H2_R2
1.MO2.08_H2_R2_10 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H2_R2_10 1.MO2.08_H2_R2
1.MO2.08_H2_R2_11 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H2_R2_11 1.MO2.08_H2_R2
1.MO2.08_H2_R2_12 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H2_R2_12 1.MO2.08_H2_R2
1.MO2.08_H2_R2_13 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H2_R2_13 1.MO2.08_H2_R2
1.MO2.08_H2_R2_14 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H2_R2_14 1.MO2.08_H2_R2
1.MO2.08_H2_R2_15 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H2_R2_15 1.MO2.08_H2_R2
1.MO2.08_H2_R2_16 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H2_R2_16 1.MO2.08_H2_R2
1.MO2.08_H2_R2_17 1.MO2.08 1.MO2.08 1.MO2 1.MO2.08_H2_R2_17 1.MO2.08_H2_R2
1.MO2.09_H1_R2_01 1.MO2.09 1.MO2.08 1.MO2 1.MO2.09_H1_R2_01 1.MO2.09_H1_R2
1.MO2.09_H1_R2_02 1.MO2.09 1.MO2.08 1.MO2 1.MO2.09_H1_R2_02 1.MO2.09_H1_R2
1.MO2.09_H2_R1_01 1.MO2.09 1.MO2.09 1.MO2 1.MO2.09_H2_R1_01 1.MO2.09_H2_R1
1.MO2.09_H2_R1_02 1.MO2.09 1.MO2.09 1.MO2 1.MO2.09_H2_R1_02 1.MO2.09_H2_R1
1.MO2.09_H2_R1_03 1.MO2.09 1.MO2.09 1.MO2 1.MO2.09_H2_R1_03 1.MO2.09_H2_R1
1.MO2.10_H1_R5_01 1.MO2.10 1.MO2.10 1.MO2 1.MO2.10_H1_R5_01 1.MO2.10_H1_R5
1.MO2.06_H2_R5_03 1.MO2.06 1.MO2.06 1.MO2 1.MO2.06_H2_R5_03 1.MO2.06_H2_R5
1.MO2.08_H1_R4_01 1.MO2.08 1.MO2.06 1.MO2 1.MO2.08_H1_R4_01 1.MO2.08_H1_R4
3.MO1.01_H1_R1_01 3.MO1.01 3.MO1.09 3.MO1 3.MO1.01_H1_R1_01 3.MO1.01_H1_R1
3.MO1.01_H1_R1_02 3.MO1.01 3.MO1.01 3.MO1 3.MO1.01_H1_R1_02 3.MO1.01_H1_R1
3.MO1.01_H1_R1_03 3.MO1.01 3.MO1.01 3.MO1 3.MO1.01_H1_R1_03 3.MO1.01_H1_R1
3.MO1.01_H1_R1_04 3.MO1.01 3.MO1.01 3.MO1 3.MO1.01_H1_R1_04 3.MO1.01_H1_R1
3.MO1.01_H1_R1_05 3.MO1.01 3.MO1.01 3.MO1 3.MO1.01_H1_R1_05 3.MO1.01_H1_R1
3.MO1.01_H1_R1_06 3.MO1.01 3.MO1.01 3.MO1 3.MO1.01_H1_R1_06 3.MO1.01_H1_R1
